TIME,,CH1,,CH2,,CH3,,CH4,,CH5,
0.000000042880,42880.000000000000,0.007500000000,7500.000000000000,-0.303437500000,-303437.500000000000,9.117968750000,9117968.750000000000,5.201562500000,5201562.500000000000,2.380625000000,2380625.000000000000
0.000000042960,42960.000000000000,-0.008750000000,-8750.000000000000,-0.279687500000,-279687.500000000000,9.080468750000,9080468.750000000000,5.223750000000,5223750.000000000000,2.359375000000,2359375.000000000000
0.000000043040,43040.000000000000,-0.007500000000,-7500.000000000000,-0.260312500000,-260312.500000000000,9.032031250000,9032031.250000000000,5.239062500000,5239062.500000000000,2.351562500000,2351562.500000000000
0.000000043120,43120.000000000000,0.001250000000,1250.000000000000,-0.240625000000,-240625.000000000000,8.966406250000,8966406.250000000000,5.254375000000,5254375.000000000000,2.342187500000,2342187.500000000000
0.000000043200,43200.000000000000,0.025625000000,25625.000000000000,-0.230625000000,-230625.000000000000,8.908593750000,8908593.750000000000,5.257812500000,5257812.500000000000,2.342500000000,2342500.000000000000
0.000000043280,43280.000000000000,0.050312500000,50312.500000000000,-0.225312500000,-225312.500000000000,8.862500000000,8862500.000000000000,5.257500000000,5257500.000000000000,2.340937500000,2340937.500000000000
0.000000043360,43360.000000000000,0.078437500000,78437.500000000000,-0.230937500000,-230937.500000000000,8.852343750000,8852343.750000000000,5.245625000000,5245625.000000000000,2.347500000000,2347500.000000000000
0.000000043440,43440.000000000000,0.093125000000,93125.000000000000,-0.239062500000,-239062.500000000000,8.871093750000,8871093.750000000000,5.234375000000,5234375.000000000000,2.348437500000,2348437.500000000000
0.000000043520,43520.000000000000,0.102812500000,102812.500000000000,-0.255937500000,-255937.500000000000,8.929687500000,8929687.500000000000,5.215625000000,5215625.000000000000,2.357500000000,2357500.000000000000
0.000000043600,43600.000000000000,0.098750000000,98750.000000000000,-0.273437500000,-273437.500000000000,9.006250000000,9006250.000000000000,5.200625000000,5200625.000000000000,2.364687500000,2364687.500000000000
0.000000043680,43680.000000000000,0.093125000000,93125.000000000000,-0.295000000000,-295000.000000000000,9.092968750000,9092968.750000000000,5.182812500000,5182812.500000000000,2.381562500000,2381562.500000000000
0.000000043760,43760.000000000000,0.079062500000,79062.500000000000,-0.310625000000,-310625.000000000000,9.156250000000,9156250.000000000000,5.173750000000,5173750.000000000000,2.394375000000,2394375.000000000000
0.000000043840,43840.000000000000,0.070625000000,70625.000000000000,-0.325000000000,-325000.000000000000,9.189843750000,9189843.750000000000,5.163750000000,5163750.000000000000,2.416875000000,2416875.000000000000
0.000000043920,43920.000000000000,0.061250000000,61250.000000000000,-0.329375000000,-329375.000000000000,9.173437500000,9173437.500000000000,5.161562500000,5161562.500000000000,2.438125000000,2438125.000000000000
0.000000044000,44000.000000000000,0.060312500000,60312.500000000000,-0.328750000000,-328750.000000000000,9.118750000000,9118750.000000000000,5.157500000000,5157500.000000000000,2.469062500000,2469062.500000000000
0.000000044080,44080.000000000000,0.056875000000,56875.000000000000,-0.315625000000,-315625.000000000000,9.024218750000,9024218.750000000000,5.160625000000,5160625.000000000000,2.496250000000,2496250.000000000000
0.000000044160,44160.000000000000,0.060937500000,60937.500000000000,-0.299375000000,-299375.000000000000,8.921093750000,8921093.750000000000,5.159375000000,5159375.000000000000,2.533125000000,2533125.000000000000
0.000000044240,44240.000000000000,0.063437500000,63437.500000000000,-0.277500000000,-277500.000000000000,8.821093750000,8821093.750000000000,5.161250000000,5161250.000000000000,2.568750000000,2568750.000000000000
0.000000044320,44320.000000000000,0.074375000000,74375.000000000000,-0.260312500000,-260312.500000000000,8.753125000000,8753125.000000000000,5.157187500000,5157187.500000000000,2.614687500000,2614687.500000000000
0.000000044400,44400.000000000000,0.083125000000,83125.000000000000,-0.244687500000,-244687.500000000000,8.714843750000,8714843.750000000000,5.157187500000,5157187.500000000000,2.657187500000,2657187.500000000000
0.000000044480,44480.000000000000,0.100625000000,100625.000000000000,-0.239687500000,-239687.500000000000,8.720312500000,8720312.500000000000,5.151875000000,5151875.000000000000,2.708750000000,2708750.000000000000
0.000000044560,44560.000000000000,0.116250000000,116250.000000000000,-0.239375000000,-239375.000000000000,8.752343750000,8752343.750000000000,5.150625000000,5150625.000000000000,2.757187500000,2757187.500000000000
0.000000044640,44640.000000000000,0.135312500000,135312.500000000000,-0.247500000000,-247500.000000000000,8.810156250000,8810156.250000000000,5.145937500000,5145937.500000000000,2.812812500000,2812812.500000000000
0.000000044720,44720.000000000000,0.142812500000,142812.500000000000,-0.253437500000,-253437.500000000000,8.867187500000,8867187.500000000000,5.148750000000,5148750.000000000000,2.860937500000,2860937.500000000000
0.000000044800,44800.000000000000,0.145937500000,145937.500000000000,-0.260312500000,-260312.500000000000,8.926562500000,8926562.500000000000,5.149062500000,5149062.500000000000,2.914062500000,2914062.500000000000
0.000000044880,44880.000000000000,0.133125000000,133125.000000000000,-0.259375000000,-259375.000000000000,8.971875000000,8971875.000000000000,5.155312500000,5155312.500000000000,2.961875000000,2961875.000000000000
0.000000044960,44960.000000000000,0.114062500000,114062.500000000000,-0.256875000000,-256875.000000000000,9.011718750000,9011718.750000000000,5.157500000000,5157500.000000000000,3.015312500000,3015312.500000000000
0.000000045040,45040.000000000000,0.081250000000,81250.000000000000,-0.247187500000,-247187.500000000000,9.037500000000,9037500.000000000000,5.164375000000,5164375.000000000000,3.064375000000,3064375.000000000000
0.000000045120,45120.000000000000,0.050937500000,50937.500000000000,-0.240937500000,-240937.500000000000,9.063281250000,9063281.250000000000,5.165000000000,5165000.000000000000,3.123437500000,3123437.500000000000
0.000000045200,45200.000000000000,0.019687500000,19687.500000000000,-0.236562500000,-236562.500000000000,9.079687500000,9079687.500000000000,5.166250000000,5166250.000000000000,3.183750000000,3183750.000000000000
0.000000045280,45280.000000000000,0.001250000000,1250.000000000000,-0.242500000000,-242500.000000000000,9.096875000000,9096875.000000000000,5.160000000000,5160000.000000000000,3.256562500000,3256562.500000000000
0.000000045360,45360.000000000000,-0.013437500000,-13437.500000000000,-0.252187500000,-252187.500000000000,9.099218750000,9099218.750000000000,5.156875000000,5156875.000000000000,3.328750000000,3328750.000000000000
0.000000045440,45440.000000000000,-0.013437500000,-13437.500000000000,-0.271250000000,-271250.000000000000,9.096875000000,9096875.000000000000,5.148437500000,5148437.500000000000,3.410312500000,3410312.500000000000
0.000000045520,45520.000000000000,-0.010625000000,-10625.000000000000,-0.289687500000,-289687.500000000000,9.077343750000,9077343.750000000000,5.145625000000,5145625.000000000000,3.486562500000,3486562.500000000000
0.000000045600,45600.000000000000,0.000937500000,937.500000000000,-0.309062500000,-309062.500000000000,9.055468750000,9055468.750000000000,5.141562500000,5141562.500000000000,3.562812500000,3562812.500000000000
0.000000045680,45680.000000000000,0.006250000000,6250.000000000000,-0.318750000000,-318750.000000000000,9.023437500000,9023437.500000000000,5.148437500000,5148437.500000000000,3.622812500000,3622812.500000000000
0.000000045760,45760.000000000000,0.016562500000,16562.500000000000,-0.323750000000,-323750.000000000000,9.000781250000,9000781.250000000000,5.156250000000,5156250.000000000000,3.675625000000,3675625.000000000000
0.000000045840,45840.000000000000,0.021250000000,21250.000000000000,-0.318750000000,-318750.000000000000,8.984375000000,8984375.000000000000,5.172812500000,5172812.500000000000,3.709687500000,3709687.500000000000
0.000000045920,45920.000000000000,0.031250000000,31250.000000000000,-0.311875000000,-311875.000000000000,8.988281250000,8988281.250000000000,5.186875000000,5186875.000000000000,3.736875000000,3736875.000000000000
0.000000046000,46000.000000000000,0.034687500000,34687.500000000000,-0.300000000000,-300000.000000000000,8.999218750000,8999218.750000000000,5.205625000000,5205625.000000000000,3.749375000000,3749375.000000000000
0.000000046080,46080.000000000000,0.045312500000,45312.500000000000,-0.294062500000,-294062.500000000000,9.025781250000,9025781.250000000000,5.216250000000,5216250.000000000000,3.763437500000,3763437.500000000000
0.000000046160,46160.000000000000,0.051562500000,51562.500000000000,-0.291250000000,-291250.000000000000,9.051562500000,9051562.500000000000,5.224375000000,5224375.000000000000,3.774687500000,3774687.500000000000
0.000000046240,46240.000000000000,0.061562500000,61562.500000000000,-0.299375000000,-299375.000000000000,9.082812500000,9082812.500000000000,5.220312500000,5220312.500000000000,3.796250000000,3796250.000000000000
0.000000046320,46320.000000000000,0.061250000000,61250.000000000000,-0.310312500000,-310312.500000000000,9.101562500000,9101562.500000000000,5.215312500000,5215312.500000000000,3.819062500000,3819062.500000000000
0.000000046400,46400.000000000000,0.062812500000,62812.500000000000,-0.330000000000,-330000.000000000000,9.119531250000,9119531.250000000000,5.200937500000,5200937.500000000000,3.853750000000,3853750.000000000000
