TIME,,CH1,,CH2,,CH3,,CH4,,CH5,,CH6,
0.000000069150,69150.000000000000,4.903750000000,4903750.000000000000,4.848437500000,4848437.500000000000,-0.498437500000,-498437.500000000000,0.127500000000,127500.000000000000,1.346250000000,1346250.000000000000,0.951250000000,951250.000000000000
0.000000069230,69230.000000000000,4.895000000000,4895000.000000000000,4.830312500000,4830312.500000000000,-0.450781250000,-450781.250000000000,0.146250000000,146250.000000000000,1.338750000000,1338750.000000000000,0.958125000000,958125.000000000000
0.000000069310,69310.000000000000,4.894375000000,4894375.000000000000,4.815625000000,4815625.000000000000,-0.421093750000,-421093.750000000000,0.154062500000,154062.500000000000,1.336250000000,1336250.000000000000,0.966406250000,966406.250000000000
0.000000069390,69390.000000000000,4.884375000000,4884375.000000000000,4.802187500000,4802187.500000000000,-0.387500000000,-387500.000000000000,0.172187500000,172187.500000000000,1.330937500000,1330937.500000000000,0.967343750000,967343.750000000000
0.000000069470,69470.000000000000,4.891250000000,4891250.000000000000,4.802500000000,4802500.000000000000,-0.360156250000,-360156.250000000000,0.177812500000,177812.500000000000,1.331718750000,1331718.750000000000,0.968125000000,968125.000000000000
0.000000069550,69550.000000000000,4.891250000000,4891250.000000000000,4.810625000000,4810625.000000000000,-0.317187500000,-317187.500000000000,0.194687500000,194687.500000000000,1.329062500000,1329062.500000000000,0.960781250000,960781.250000000000
0.000000069630,69630.000000000000,4.909687500000,4909687.500000000000,4.834687500000,4834687.500000000000,-0.279687500000,-279687.500000000000,0.196250000000,196250.000000000000,1.332500000000,1332500.000000000000,0.955781250000,955781.250000000000
0.000000069710,69710.000000000000,4.918750000000,4918750.000000000000,4.863437500000,4863437.500000000000,-0.236718750000,-236718.750000000000,0.203125000000,203125.000000000000,1.333906250000,1333906.250000000000,0.947187500000,947187.500000000000
0.000000069790,69790.000000000000,4.934687500000,4934687.500000000000,4.899062500000,4899062.500000000000,-0.214843750000,-214843.750000000000,0.193750000000,193750.000000000000,1.341250000000,1341250.000000000000,0.944218750000,944218.750000000000
0.000000069870,69870.000000000000,4.925312500000,4925312.500000000000,4.926562500000,4926562.500000000000,-0.204687500000,-204687.500000000000,0.195312500000,195312.500000000000,1.344687500000,1344687.500000000000,0.939062500000,939062.500000000000
0.000000069950,69950.000000000000,4.914062500000,4914062.500000000000,4.950000000000,4950000.000000000000,-0.233593750000,-233593.750000000000,0.183125000000,183125.000000000000,1.353281250000,1353281.250000000000,0.940781250000,940781.250000000000
0.000000070030,70030.000000000000,4.880625000000,4880625.000000000000,4.959687500000,4959687.500000000000,-0.285937500000,-285937.500000000000,0.180937500000,180937.500000000000,1.358281250000,1358281.250000000000,0.942031250000,942031.250000000000
0.000000070110,70110.000000000000,4.853750000000,4853750.000000000000,4.964375000000,4964375.000000000000,-0.372656250000,-372656.250000000000,0.168437500000,168437.500000000000,1.366875000000,1366875.000000000000,0.949687500000,949687.500000000000
0.000000070190,70190.000000000000,4.815937500000,4815937.500000000000,4.956875000000,4956875.000000000000,-0.465625000000,-465625.000000000000,0.173125000000,173125.000000000000,1.368281250000,1368281.250000000000,0.954375000000,954375.000000000000
0.000000070270,70270.000000000000,4.801875000000,4801875.000000000000,4.950625000000,4950625.000000000000,-0.567968750000,-567968.750000000000,0.170000000000,170000.000000000000,1.370781250000,1370781.250000000000,0.964375000000,964375.000000000000
0.000000070350,70350.000000000000,4.795312500000,4795312.500000000000,4.940312500000,4940312.500000000000,-0.650781250000,-650781.250000000000,0.181875000000,181875.000000000000,1.365468750000,1365468.750000000000,0.971875000000,971875.000000000000
0.000000070430,70430.000000000000,4.818437500000,4818437.500000000000,4.934687500000,4934687.500000000000,-0.717968750000,-717968.750000000000,0.186875000000,186875.000000000000,1.360156250000,1360156.250000000000,0.983906250000,983906.250000000000
0.000000070510,70510.000000000000,4.839375000000,4839375.000000000000,4.923750000000,4923750.000000000000,-0.746093750000,-746093.750000000000,0.211875000000,211875.000000000000,1.345937500000,1345937.500000000000,0.991406250000,991406.250000000000
0.000000070590,70590.000000000000,4.875000000000,4875000.000000000000,4.914375000000,4914375.000000000000,-0.754687500000,-754687.500000000000,0.229375000000,229375.000000000000,1.334062500000,1334062.500000000000,1.002500000000,1002500.000000000000
0.000000070670,70670.000000000000,4.892500000000,4892500.000000000000,4.896562500000,4896562.500000000000,-0.733593750000,-733593.750000000000,0.260312500000,260312.500000000000,1.318281250000,1318281.250000000000,1.009375000000,1009375.000000000000
0.000000070750,70750.000000000000,4.905312500000,4905312.500000000000,4.878125000000,4878125.000000000000,-0.707812500000,-707812.500000000000,0.279375000000,279375.000000000000,1.309375000000,1309375.000000000000,1.018750000000,1018750.000000000000
0.000000070830,70830.000000000000,4.884375000000,4884375.000000000000,4.850625000000,4850625.000000000000,-0.668750000000,-668750.000000000000,0.310000000000,310000.000000000000,1.299218750000,1299218.750000000000,1.022031250000,1022031.250000000000
