TIME,,CH1,,CH2,,CH3,,CH4,
-1.81E-09,-1810,0.043125,43125,0.0140625,14062.5,4.704375,4704375,0.3303125,330312.500000000000
-1.73E-09,-1730,0.049375,49375,-0.0246875,-24687.5,4.7159375,4715937.5,0.31375,313750.000000000000
-1.65E-09,-1650,0.0503125,50312.5,-0.0803125,-80312.5,4.719375,4719375,0.2996875,299687.500000000000
-1.57E-09,-1570,0.0678125,67812.5,-0.1415625,-141562.5,4.72375,4723750,0.2659375,265937.500000000000
-1.49E-09,-1490,0.0903125,90312.5,-0.185,-185000,4.723125,4723125,0.2390625,239062.500000000000
-1.41E-09,-1410,0.130625,130625,-0.2025,-202500,4.7265625,4726562.5,0.2021875,202187.500000000000
-1.33E-09,-1330,0.1725,172500,-0.1834375,-183437.5,4.7275,4727500,0.185625,185625.000000000000
-1.25E-09,-1250,0.2315625,231562.5,-0.1396875,-139687.5,4.7346875,4734687.5,0.1659375,165937.500000000000
-1.17E-09,-1170,0.290625,290625,-0.07875,-78750,4.74125,4741250,0.1653125,165312.500000000000
-1.09E-09,-1090,0.361875,361875,-0.02375,-23750,4.753125,4753125,0.1603125,160312.500000000000
-1.01E-09,-1010,0.42875,428750,0.0153125,15312.5,4.7603125,4760312.5,0.1734375,173437.500000000000
-9.3E-10,-930,0.510625,510625,0.02125,21250,4.7709375,4770937.5,0.1759375,175937.500000000000
-8.5E-10,-850,0.593125,593125,-0.0034375,-3437.5,4.7765625,4776562.5,0.186875,186875.000000000000
-7.7E-10,-770,0.691875,691875,-0.0584375,-58437.5,4.7853125,4785312.5,0.1828125,182812.500000000000
-6.9E-10,-690,0.791875,791875,-0.1240625,-124062.5,4.7896875,4789687.5,0.1896875,189687.500000000000
-6.1E-10,-610,0.9134375,913437.5,-0.19125,-191250,4.79875,4798750,0.1825,182500.000000000000
-5.3E-10,-530,1.041875,1041875,-0.23875,-238750,4.8053125,4805312.5,0.1846875,184687.500000000000
-4.5E-10,-450,1.1915625,1191562.5,-0.261875,-261875,4.8153125,4815312.5,0.17625,176250.000000000000
-3.7E-10,-370,1.34625,1346250,-0.2515625,-251562.5,4.816875,4816875,0.1834375,183437.500000000000
-2.9E-10,-290,1.5234375,1523437.5,-0.2184375,-218437.5,4.816875,4816875,0.18125,181250.000000000000
-2.1E-10,-210,1.704375,1704375,-0.1675,-167500,4.805625,4805625,0.19125,191250.000000000000
-1.3E-10,-130,1.89875,1898750,-0.1175,-117500,4.7909375,4790937.5,0.190625,190625.000000000000
-5E-11,-50,2.083125,2083125,-0.074375,-74375,4.7671875,4767187.5,0.205,205000.000000000000
3E-11,30,2.2703125,2270312.5,-0.0534375,-53437.5,4.7484375,4748437.5,0.2075,207500.000000000000
1.1E-10,110,2.438125,2438125,-0.0521875,-52187.5,4.733125,4733125,0.2196875,219687.500000000000
1.9E-10,190,2.598125,2598125,-0.0734375,-73437.5,4.7328125,4732812.5,0.2184375,218437.500000000000
2.7E-10,270,2.73375,2733750,-0.10375,-103750,4.7409375,4740937.5,0.2290625,229062.500000000000
3.5E-10,350,2.86875,2868750,-0.14125,-141250,4.76375,4763750,0.2240625,224062.500000000000
4.3E-10,430,2.99375,2993750,-0.17125,-171250,4.7884375,4788437.5,0.224375,224375.000000000000
5.1E-10,510,3.1309375,3130937.5,-0.194375,-194375,4.815625,4815625,0.206875,206875.000000000000
5.9E-10,590,3.268125,3268125,-0.201875,-201875,4.829375,4829375,0.1978125,197812.500000000000
6.7E-10,670,3.426875,3426875,-0.2015625,-201562.5,4.834375,4834375,0.1725,172500.000000000000
7.5E-10,750,3.5875,3587500,-0.191875,-191875,4.8228125,4822812.5,0.1546875,154687.500000000000
8.3E-10,830,3.7565625,3756562.5,-0.1828125,-182812.5,4.805625,4805625,0.1259375,125937.500000000000
9.1E-10,910,3.9065625,3906562.5,-0.17125,-171250,4.7803125,4780312.5,0.1153125,115312.500000000000
9.9E-10,990,4.0475,4047500,-0.165,-165000,4.7615625,4761562.5,0.09875,98750.000000000000
1.07E-09,1070,4.1546875,4154687.5,-0.1575,-157500,4.746875,4746875,0.1,100000.000000000000
1.15E-09,1150,4.2403125,4240312.5,-0.1528125,-152812.5,4.7465625,4746562.5,0.09625,96250.000000000000
1.23E-09,1230,4.2890625,4289062.5,-0.141875,-141875,4.7509375,4750937.5,0.1109375,110937.500000000000
1.31E-09,1310,4.326875,4326875,-0.1303125,-130312.5,4.765,4765000,0.1153125,115312.500000000000
1.39E-09,1390,4.344375,4344375,-0.1128125,-112812.5,4.7775,4777500,0.1271875,127187.500000000000
1.47E-09,1470,4.365625,4365625,-0.0978125,-97812.5,4.791875,4791875,0.1225,122500.000000000000
1.55E-09,1550,4.376875,4376875,-0.081875,-81875,4.7959375,4795937.5,0.125,125000.000000000000
1.63E-09,1630,4.4015625,4401562.5,-0.0753125,-75312.5,4.7971875,4797187.5,0.109375,109375.000000000000
1.71E-09,1710,4.420625,4420625,-0.0753125,-75312.5,4.788125,4788125,0.099375,99375.000000000000
1.79E-09,1790,4.4471875,4447187.5,-0.0878125,-87812.5,4.7765625,4776562.5,0.0753125,75312.500000000000
1.87E-09,1870,4.459375,4459375,-0.104375,-104375,4.7559375,4755937.5,0.0665625,66562.500000000000
1.95E-09,1950,4.4759375,4475937.5,-0.1284375,-128437.5,4.73625,4736250,0.049375,49375.000000000000
2.03E-09,2030,4.4784375,4478437.5,-0.1490625,-149062.5,4.7125,4712500,0.0475,47500.000000000000
